"group","ID","baseMean","log2FoldChange","padj"
"H_vs_O","HERVL18-int",45.7630593247982,-1.77015679786334,2.39972581868181e-05
"H_vs_O","HSMAR1",317.932826965279,2.30581410924535,1.60458496199939e-26
"H_vs_O","HUERS-P3-int",137.580917575332,2.461365962615,2.06131682189558e-07
"H_vs_O","Kanga1",82.4496751593508,2.3340954387127,2.78538792463206e-13
"H_vs_O","L1ME3B",1445.14635516572,1.50251497123769,1.87761336347826e-30
"H_vs_O","L1P1",584.551433425921,2.57662317734654,3.34072464761477e-35
"H_vs_O","L1P4b",3.24281802673872,1.97171083800069,0.0200619125212749
"H_vs_O","L1P4c",15.6124049013519,3.42507019620559,1.47763047832629e-07
"H_vs_O","L1P4d",6.02059670446404,2.31435382245833,0.000782837864182036
"H_vs_O","L1PA2",304.030005371382,-1.82578833594843,2.61932719564622e-06
"H_vs_O","LFSINE_Vert",117.409992241396,1.79241639475104,1.36494864688299e-35
"H_vs_O","LTR12D",57.3129310589192,1.55964802861327,0.000178234794059755
"H_vs_O","LTR15",46.0311477713514,1.58474056700616,3.30153701647576e-05
"H_vs_O","LTR16B1",84.2356155011881,1.68780565581776,1.5891281871666e-07
"H_vs_O","LTR21A",81.8890665896532,2.59063578708492,4.16003309942365e-08
"H_vs_O","LTR23-int",15.8488612703309,-2.64529444110623,3.07558915268866e-05
"H_vs_O","LTR24C",18.6725258518894,-1.82471697828157,3.91080316554271e-08
"H_vs_O","LTR35",36.0506167311001,1.68344045411378,0.00254022985834383
"H_vs_O","LTR38-int",3.43875375170662,2.06014415185523,0.00660085376604106
"H_vs_O","LTR39",108.819181767855,1.73475930072521,4.99920464850667e-05
"H_vs_O","LTR3A",75.2155782222569,-1.74678449203544,4.3676166533078e-08
"H_vs_O","LTR3B_",128.188006989345,4.81243588669046,5.12325341984281e-09
"H_vs_O","LTR43B",7.39055828135458,-1.62753722077557,0.00110464829575843
"H_vs_O","LTR48",83.1681790699439,1.60053131087233,0.00100870777897747
"H_vs_O","LTR5",2.20816315619146,-3.04140255948539,0.00183108326687088
"H_vs_O","LTR6A",332.321307727984,2.69606561879554,1.6854959226934e-31
"H_vs_O","LTR6B",26.6774956920812,1.61814573525985,7.51480419110874e-06
"H_vs_O","LTR84a",207.002801402241,3.46457591235202,1.65492445122967e-11
"H_vs_O","LTR85a",156.762548193366,-1.73821373183227,2.61566297003049e-08
