	h1_1	h1_2	h1_3	h2_1	h2_2	h2_3	h3_1	h3_2	h3_3
LA16c-306E5.3	1.77153222043019	1.39868189066953	0.958851484552426	1.65368065483043	1.98344317621254	0.795730204153141	1.62510113898205	1.3017227191905	1.03384471997228
RP11-473I1.10	6.49599803575638	6.39682792377371	6.5824559008665	5.43845772891282	5.42037617061059	5.62499990263919	5.06521066021773	4.63470600258686	5.66777406984171
CTC-524C5.2	4.64692466320401	4.28299879454202	4.79404061480676	4.34281772390602	4.35366682814068	4.66550762674456	2.92576061711576	4.6565654365506	3.84119964202988
RP11-96D1.10	2.86018984025058	2.55758548602059	2.78482208477738	2.70502753483065	2.76870432741952	2.77845221272131	2.04890884788863	2.35617050321288	2.41235634322601
RP1-59D14.5	3.81654195534775	3.19185090648382	4.14807704195367	2.96300871293816	3.44008157995815	3.14487976777553	1.88225897847918	2.81073636667836	3.14296644235239
CTC-297N7.10	2.06472859677423	2.1746416164516	2.18124390588887	2.62197179510309	2.45122213756335	2.77845221272131	2.19828647192685	3.32920345561261	2.34750519887604
MIR5196	3.07299621275783	3.15722456337419	3.28077957943979	3.55078074724614	3.64802284499706	3.82126529626028	2.92576061711576	2.12484495710642	3.78107864959231
MIR378I	4.13353775469288	3.98693446132487	4.25875327310979	4.10357691132092	4.07990601571383	4.34005072037695	2.33363832482174	3.66737219150718	3.88755527772162
MIR5193	1.96163510381013	1.71665197198821	1.79710041455581	1.56752401108071	1.78640632915298	1.76096478599246	2.28991694739242	1.50817359665793	1.57698704499881
RP11-498C9.13	4.42591612210882	4.46388590160824	4.75050772025204	4.54233567898988	4.59376125121059	4.68418355150498	4.18043847059393	3.48392605041125	4.15722713547756
RP11-599B13.6	2.71981718388603	2.53977420990413	2.60095789237719	2.53384088482442	2.9045877555013	2.28605583073622	1.99546958892717	3.15587185272705	2.8703459876894
MIR4444-2	1.81160965980552	2.22008458721276	1.58688270716547	3.13761323532034	2.21021403805956	2.07583812334588	1.55295135322622	2.81073636667836	2.67274602780424
LINC00667	5.09142691816502	4.8254061755685	5.26980846161878	4.78594753021421	4.6334254687841	5.01443757868173	5.31467304647799	6.00642446418575	5.25991279945212
RP11-580I16.2	4.71189752058979	4.76919016600195	4.50317200077624	4.75217051822979	4.82545910571676	5.12792663449433	5.2815696046789	5.7661899277251	5.13578288373849
RP11-6N17.9	4.1492621069859	4.03858006687557	4.21366538358125	4.40002458131249	4.51100336588877	4.71175181151379	4.34969817571784	4.7611543378278	4.68263883256267
RP11-849F2.7	8.97562112294025	9.0746872429629	8.94426221282467	9.0769031599954	9.08416142604538	8.93941709866293	9.02306267040182	9.41546488523969	9.09299601014087
RP11-573D15.9	3.86495908439846	3.8124836767757	3.94236336176386	3.69997430710436	3.97574878442254	4.08289288087983	4.0554516937554	3.97632243239633	4.23995205772123
AL353629.1	3.81654195534775	4.130698268864	4.18592039309835	4.64581853705746	4.10833442404035	4.53783910159531	4.29545513093385	4.47164772063281	3.91018625222119
AC006483.1	9.46874454093687	9.86667818054661	9.6452458961061	10.5710311119903	10.3986904937041	10.4844800614357	10.2626979558102	9.9464109930261	10.3880626119953
CTB-58E17.9	3.47353414234156	3.68053254618155	3.29816165766802	3.04500208513546	3.37136882987414	2.84635627722311	1.55295135322622	1.50817359665793	2.98137730007814
RP11-746M1.1	4.14142135376872	4.25051648342672	4.74418010028003	4.24905977149692	4.4677733138272	4.20431268129469	4.58496174812884	2.55547931143629	4.13818137978701
RP11-6N17.6	2.03117603706321	2.10367509509745	2.2543073680786	3.82592696818286	3.74173727981925	3.58332187138932	3.90417375490762	3.66737219150718	2.67274602780424
RP11-192H23.7	3.83610422172627	4.00651885764327	3.88600091914474	4.5309981350556	4.7552838116572	4.474875143931	4.10675292246091	5.14817746093705	4.6015292292616
KRT222	5.40805472857397	5.64244277294	5.4709634198659	5.99533644521701	5.82759801647309	5.91714037732682	6.17594175513772	6.55256771601638	6.02479958036927
RP11-159D12.2	6.14828434006207	5.07459060264127	6.28405471147265	3.19620788923119	4.21675688392633	4.20431268129469	3.97490826644485	4.01067393718711	5.57167324510234
RP11-45M22.4	3.73552726697469	3.79757196737177	3.9859197277506	3.01276174813526	3.34771756180949	3.27377750095778	3.40710048676276	2.45926399617698	3.45145616291495
RP11-94L15.2	7.06628238802931	7.20850506831788	7.14867604343244	7.6585728095382	7.65947525766477	7.5764652391485	7.64204528005548	7.84088153029853	7.74887516423061
RP13-270P17.1	6.28445347644305	6.62195631670477	6.38917731172045	6.60652739071207	6.50967185214323	6.58952702091602	7.08213160027024	6.60971162311999	6.43106094216388
