	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
NOL9	4.26310471745174	3.98967775772394	3.74279776559013	3.3711038035523	3.86684166851211	4.17614924854063	4.87961143796396	4.25396120070819	4.16546649648397
KLHL21	3.81859001709606	3.80326463349306	3.52483486889054	5.37429208118335	5.65700338624618	6.0399593224704	2.76886437245642	4.29812878398376	5.12605811192573
PHF13	4.62279012696082	4.57672056888615	4.87739458243157	5.25482841458178	5.47044992203066	5.20219660676148	4.98906258037996	4.90467814691306	4.34400462823099
THAP3	4.16241071783226	4.19862464799544	4.46477974541958	4.28563446136295	4.70699782184988	4.09196816161024	3.62366645691648	4.58631666704589	3.85857780106075
DNAJC11	6.57462089495325	6.75723167172357	6.57129145470589	6.39798218722845	6.5914387052479	6.47926442757617	6.11212097678429	6.32506226765738	5.96911427721041
CAMTA1	3.1164948827769	2.87939570270903	2.87981724469842	3.26517035880324	3.17604625577883	2.70351544792235	2.25866964013724	3.50699421438449	3.72427670934916
VAMP3	4.58697670893801	4.89615193103461	4.71321677504042	4.54527827799597	4.66714183303576	4.67486524316561	4.43344404124094	3.8213755002185	4.21639043164664
PER3	3.50436218089028	3.62174449357214	3.14446450150052	4.92161224794433	4.60098949803084	4.50855278708656	3.72207016097748	2.68387197646857	3.85857780106075
PARK7	7.86658937375147	7.64720888439574	8.29931089009592	7.65879575541673	7.77279362059963	7.68772586533088	7.64786096192928	7.68178966428476	7.68940400767544
RERE	6.95679526516141	6.84442473436907	6.47523119014254	6.77613227808062	6.47853226832852	6.7306138210227	6.57841017578683	6.41472091261907	6.51477752569588
ENO1	10.9951482514134	10.9312780076201	11.3007524122535	11.3776222774129	11.305613239862	11.1771071982654	10.9831834932572	11.0193997568666	11.1486990721204
SLC2A5	3.51529174104854	3.33760106114425	3.43543578383744	5.00625206144168	5.19579019107724	5.07640495738529	4.29109111782961	4.48805265073103	4.32865666389755
H6PD	4.08382869385658	4.46435820343019	3.87496784503703	3.66986591386062	3.86684166851211	3.8644066374996	3.84363214085839	4.74365320479398	3.77044689078208
SLC25A33	4.29516592668403	4.63378374319506	4.65217057031196	4.60077339058768	4.75341560717775	4.71562205077901	5.15091345978135	3.95612491233174	4.1826416402921
PIK3CD	8.24905535685401	8.198962317989	8.2719041129356	8.09056834737515	8.13536369998433	7.99720665850871	7.4514854815338	7.58111240204336	7.3334704656306
CLSTN1	6.02482028212466	5.9436725884595	5.88344362710437	6.05673639505671	5.95057393582106	5.96418394827425	5.60229280612392	5.25021879902238	5.16114057108118
NMNAT1	2.5634752745585	2.1152086398078	3.12825427431926	2.33228455466177	3.34723290578505	2.25014982998441	3.900776047962	2.27621400755532	2.139314208628
UBE4B	6.27038086364988	6.51405410558406	6.40295816032026	6.894110556585	6.77326301869743	6.66761290093735	6.63423569862667	6.96870497258092	6.78317039840272
KIF1B	4.60755024890053	4.74895351361524	4.53409283675164	5.34858636699088	5.09725465277671	5.24180248727089	4.64890374841551	4.80616240627199	4.78738675320379
	7.23817014083783	7.35891156738966	7.64826803616059	7.35586251318902	7.48370425369955	7.31987843194675	7.73489420133506	7.87643035138255	8.11771076921221
CENPS	3.49334918816786	3.57255694394461	3.93211175214064	2.27884529570031	3.05772628859007	2.56763201984058	3.48106206147368	3.16929880363881	3.8370446395111
DFFA	5.55952087726988	5.68289314909712	5.82178060722057	5.57606440341562	5.35978907765215	5.0383536516971	4.94898514100462	5.05810894462197	5.62411254742372
PEX14	4.63286133742971	4.38110269978084	4.62931551743147	4.80359027358736	4.76856215093162	4.93168559040062	3.62366645691648	4.07935667832601	4.65827915057491
CASZ1	4.23031478233407	4.15473700399444	3.52483486889054	3.7107961779155	3.03285161995104	3.98933324940043	2.94219597534198	2.0190561680582	2.56312191753457
TARDBP	8.25477305169041	8.22771020466188	8.30292610274012	8.25526081231943	8.32467295970756	8.30693342237785	8.46279612571721	8.2904053154683	8.42787084551602
SRM	6.38951337718332	6.5901699567387	6.84117953158075	5.66206051137182	5.97035977792708	6.05908926075801	6.55189742277129	6.8697385217799	7.00696964095342
EXOSC10	7.11963166465752	7.14565683094014	7.10618094326458	7.08911377318953	6.91952899467005	6.93255025631855	6.65514468838965	7.02235124761978	6.83568808554102
MTOR	6.74214921149041	6.99513218781605	6.83993582888227	6.5267728091439	6.34091360071478	6.54179872085731	7.00054514842725	7.0698339042075	7.16654595410327
UBIAD1	4.63286133742971	5.07161937126012	5.28453021424972	4.9040716666352	4.89816800270601	5.42499871006601	4.68188107086178	5.27988966569872	5.42922063046483
FBXO44	5.50573291262369	5.07750793062258	5.34188713601407	5.67762931398031	5.95057393582106	5.48281058677468	4.5805977350246	5.10029601601837	5.26960223783297
FBXO6	4.12722128936996	4.51730708337915	4.76655723280742	3.15083768332424	3.28539365196719	2.91428254413917	2.94219597534198	3.26141700562724	3.15680163535684
MAD2L2	4.34502644121076	4.44626774644729	4.89186990494745	4.28563446136295	4.23721011845722	4.01568457634739	4.87961143796396	4.26883447718972	4.26557798127417
MTHFR	4.56610553060317	4.33268557073013	4.26427506922245	5.15455118612331	4.91187542212661	5.11956572017426	3.78413112910973	4.74365320479398	3.92131355640871
CLCN6	4.57657886183268	4.06274121991366	3.49985251233321	4.7358001840454	5.06080568152204	4.95910104798102	4.86532721195771	4.23893299147586	4.13049035824099
KIAA2013	6.30385926739531	6.1308670524737	6.29636684456731	6.69940142331539	6.68221715349786	6.6190256063834	5.61088030196064	5.72489924472862	6.1633051551945
PLOD1	6.38505143020123	6.49217809825312	6.4927475702754	6.09974674959587	5.92037689069263	5.86621793094643	6.63001728906887	6.6769192158268	7.01418313118599
MFN2	7.24803195109294	7.37573619003102	7.36757636385367	7.43127364929314	7.3453400189521	7.44876486803773	7.07381030716144	7.37317113700446	7.1751526614539
