	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
MOCS3	8.40996660881539	9.05429740969859	9.6529436178486	9.15998882202889	9.20598951022708	9.26967778852926	9.59136629274808	9.58289680968795	9.05523399843739	8.88872805686315	9.18540133273365
PEX6	9.4895338661337	10.8638201684389	10.4049178783596	10.266416941623	11.1924135609482	10.3862986406035	10.8427389048742	9.34096803686581	10.4513934875105	10.2854506587619	11.2536166989541
NQO2	11.7598804773874	11.3762255045859	11.3889659657956	11.6151994901129	11.1148190262169	11.2634672966275	10.0982579072954	11.4874231614603	11.5136160025934	11.8261761194476	11.055717313443
TEP1	11.9172708422196	11.5095813636461	12.1206379540823	12.230832613632	12.2833901355282	12.4129163404546	11.9803834097437	12.4330013792049	12.421486262137	11.6922963755898	13.3119119737963
GMFG	10.1364832537506	9.88532123764982	10.0936816274588	10.4911597658268	9.31794444303206	10.1749148652853	9.21128466545405	10.7157910801853	8.93493976471968	10.0334330683162	8.62026027292524
GSTM1	7.01950713225721	10.7084434755657	6.83296108746325	7.2927739999298	7.45369818483203	6.51106720032308	6.55869305778416	7.65689739113173	7.58130281010498	10.2133008730061	8.49702850693097
PRPF38B	10.3987684022105	9.88532123764982	10.2923927061005	10.5936551110107	11.4891512704502	10.5256716132319	10.0943552131908	10.889558147922	10.4158792008976	10.6083837659093	11.6422386420207
SPIRE1	11.8530810502228	11.0040780542109	11.7611491714823	10.4626990013721	12.0228164074884	10.9567076832802	11.07170750483	11.5195140869595	11.6188802679215	11.5738143660968	11.1782557260461
SMPD2	7.23631852133036	6.73236931481122	8.29440905169905	8.19501395126874	8.94212334014949	7.49419338175868	9.03247317066318	9.09341461782103	8.11181752680376	9.06305823742547	10.0881041313787
RAB11FIP5	11.2425956670165	10.889583264504	10.7978572865073	10.9840000941579	10.9258073458633	11.0170171975894	10.8442889399853	10.4587458368828	11.0978783358459	10.9939878446016	11.0712303128143
SMYD5	9.53115295533544	9.25262612614457	9.87937155242021	9.99091582264341	10.3351537330643	10.3303551518767	10.0345113556608	9.90785896466495	10.3702204839059	10.3637177155592	10.5084694474677
DYSF	11.7569600410847	11.4984622716826	10.7129683889208	11.9548223090144	10.3837465014278	12.0770327105869	11.32860876918	11.2305950657571	11.6800367636903	11.801782143864	10.7892475460012
CCDC142	8.28578719759466	7.43863811175451	8.94501959465572	8.40288375684749	8.04332206292305	8.43353059985206	7.92084344406311	9.17627155022531	9.05523399843739	8.94072269450141	10.8480661904481
TTLL4	9.74669170563083	9.14265328411943	8.94501959465572	9.15452406155208	11.018680068269	9.62783426587622	9.17970927120078	10.2578014357219	9.81054890248249	9.7425955515426	12.1602353188731
USP37	11.3277231547621	10.8018544151325	11.3584517804932	11.1742361025747	12.0726894497595	11.571637467184	11.6067447802195	11.0809236736378	11.1474414365345	10.5171485132681	11.8525619717144
HTR2B	9.04845850595334	8.63418892087232	9.19861055977993	8.96148785034421	8.99119933184692	8.88570234554129	9.29528093364977	9.55220001246504	8.23919683327999	8.42432448026333	7.74156656914738
ITM2C	10.5277301896947	9.45022608602973	9.19861055977993	9.75130082390534	9.8033712702023	10.953625000396	10.2022470808302	10.4532182629144	10.7864172400096	9.39666813736046	10.0193913812947
SLC19A3	14.7450345992821	14.4670789350371	13.2707931694944	14.2761214703009	13.0916595136261	14.4344983412794	12.1311700877735	13.298828703982	15.4004884251848	14.065621727194	6.81711760215455
SERPINE2	9.26126487846059	9.74182964406029	9.26592049473936	8.84418394093993	10.2245785367214	9.3748212925536	11.4234302019777	10.1388851343352	9.24932105055369	9.93432492330326	10.8115864961813
ABI1	11.9120294375775	11.7675301543916	12.3287546301918	12.0962148375913	12.4558850808714	12.2313711213618	12.1438129119483	12.3068959852501	11.5792976742146	11.801782143864	12.1746696067726
